pot,block,line,heading_date,stem_strength,stems,plant_height,soil_moisture,total_panicle_mass,total_biomass,single_panicle_mass,area_sqcm
1,A,P0528A1-1,46,0.1,6,86,,5.28,9.18,2.43,33.65277907
10,A,Rollag,47,0.19,8,74,,4.85,8.8,1.05,11.07702411
12,A,MN06203,46,0.66,4,84,,6.56,9,3.68,45.59346834
15,A,SD050616,48,0.14,4,109,,4.28,11.86,2.46,32.2540408
16,A,SD120289,42,0.26,5,95,,6.95,8.7,2.97,36.06559025
17,A,MN09115,51,0.46,5,91,,4.06,13.7,2.44,41.56894438
18,A,SD090882,46,0.95,5,93,,9.76,13.43,1.96,36.47748506
2,A,BADGER,45,0.15,3,97,,3.64,7.8,4.55,51.76639257
20,A,IL00-1030,50,0.17,6,99,,7.52,13.65,2.68,42.81683542
21,A,SD041445-119,50,0.27,5,103,,6.07,11.97,1.38,25.26649312
22,A,Quest,46,0.12,8,85,,11.27,14.05,1.9,13.35829802
24,A,Pinnacle,49,0.3,9,79,,5.18,17.6,1.14,16.11050873
25,A,Stout,48,0.53,7,83,,6.95,11.6,2.35,36.14285696
27,A,OA1342-2,48,0.32,7,97,,4.94,15.18,1.5,38.90446704
28,A,Shelly,48,0.44,10,72,,6.7,10.29,1.06,9.432135528
29,A,IL07-8721,48,0.22,4,86,,6.28,11.95,1.95,39.10067875
3,A,MN10121,50,0.13,4,114,,3.34,14.73,2.48,48.74447036
30,A,ND021052,50,0.42,5,100,,7.08,14.01,1.83,34.99530053
32,A,AC-metcalf,50,0.6,14,84,,6.29,16.85,0.76,17.90272874
35,A,P0216A1-1-45,53,0.56,5,86,,4.68,14.62,2.46,48.47367362
37,A,Linkert,48,0.85,10,66,,6.25,10.11,1.23,11.75617295
38,A,MN113946,49,0.31,9,71,,5.79,13.24,0.99,8.917628012
39,A,StellarND,48,0.5,9,72,,6.84,16.33,1.01,11.17200432
4,A,00P28-AN01B1,59,0.25,5,80,,3.02,16.18,1.47,41.68791628
5,A,REINS,44,0.22,4,91,,4.13,11,2.09,32.01807014
6,A,SD090552,50,0.08,4,120,,3.81,14.44,2.78,45.18155559
8,A,SD120289,42,0.16,5,93,,4.79,6.9,2.54,30.32615784
9,A,Celebration,49,0.23,6,84,,8.16,16.73,2.93,22.4915015
